symbol,name,baseAsset,quoteAsset,sector,industry,exchange,priceStep,quantityStep,minQuantity
AAPL,Apple Inc.,AAPL,USD,Technology,Consumer Electronics,NMS,0.01,1.0,1.0
MSFT,Microsoft Corporation,MSFT,USD,Technology,Software - Infrastructure,NMS,0.01,1.0,1.0
AMZN,"Amazon.com, Inc.",AMZN,USD,Consumer Cyclical,Internet Retail,NMS,0.01,1.0,1.0
GOOGL,Alphabet Inc.,GOOGL,USD,Communication Services,Internet Content & Information,NMS,0.01,1.0,1.0
META,"Meta Platforms, Inc.",META,USD,Communication Services,Internet Content & Information,NMS,0.01,1.0,1.0
NVDA,NVIDIA Corporation,NVDA,USD,Technology,Semiconductors,NMS,0.01,1.0,1.0
TSLA,"Tesla, Inc.",TSLA,USD,Consumer Cyclical,Auto Manufacturers,NMS,0.01,1.0,1.0
BRK-B,Berkshire Hathaway Inc. New,BRK-B,USD,Financial Services,Insurance - Diversified,NYQ,0.01,1.0,1.0
JPM,JP Morgan Chase & Co.,JPM,USD,Financial Services,Banks - Diversified,NYQ,0.01,1.0,1.0
V,Visa Inc.,V,USD,Financial Services,Credit Services,NYQ,0.01,1.0,1.0
MA,Mastercard Incorporated,MA,USD,Financial Services,Credit Services,NYQ,0.01,1.0,1.0
UNH,UnitedHealth Group Incorporated,UNH,USD,Healthcare,Healthcare Plans,NYQ,0.01,1.0,1.0
JNJ,Johnson & Johnson,JNJ,USD,Healthcare,Drug Manufacturers - General,NYQ,0.01,1.0,1.0
PG,Procter & Gamble Company (The),PG,USD,Consumer Defensive,Household & Personal Products,NYQ,0.01,1.0,1.0
KO,Coca-Cola Company (The),KO,USD,Consumer Defensive,Beverages - Non-Alcoholic,NYQ,0.01,1.0,1.0
PEP,"Pepsico, Inc.",PEP,USD,Consumer Defensive,Beverages - Non-Alcoholic,NMS,0.01,1.0,1.0
XOM,Exxon Mobil Corporation,XOM,USD,Energy,Oil & Gas Integrated,NYQ,0.01,1.0,1.0
CVX,Chevron Corporation,CVX,USD,Energy,Oil & Gas Integrated,NYQ,0.01,1.0,1.0
